windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,label
43757,1773612118.864639,1773612123.864639,7,171.71428571428572,144.81564635277306,3,3,4,4,0,0,7,0,bulboff
43758,1773612119.864639,1773612124.864639,7,171.71428571428572,144.81564635277306,3,3,4,4,0,0,7,0,idle
43759,1773612120.864639,1773612125.864639,4,100.25,68.0312428226914,3,3,4,4,0,0,4,0,idle
43770,1773612131.864639,1773612136.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43771,1773612132.864639,1773612137.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43772,1773612133.864639,1773612138.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43773,1773612134.864639,1773612139.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43774,1773612135.864639,1773612140.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43778,1773612139.864639,1773612144.864639,17,200.05882352941177,142.51862623365906,3,3,4,4,0,0,17,0,bulbon
43779,1773612140.864639,1773612145.864639,17,200.05882352941177,142.51862623365906,3,3,4,4,0,0,17,0,bulbon
43780,1773612141.864639,1773612146.864639,17,200.05882352941177,142.51862623365906,3,3,4,4,0,0,17,0,bulbon
43781,1773612142.864639,1773612147.864639,17,200.05882352941177,142.51862623365906,3,3,4,4,0,0,17,0,bulbon
43782,1773612143.864639,1773612148.864639,17,200.05882352941177,142.51862623365906,3,3,4,4,0,0,17,0,idle
43791,1773612152.864639,1773612157.864639,4,70.0,0.0,1,1,0,0,1,1,0,4,idle
43792,1773612153.864639,1773612158.864639,7,70.0,0.0,1,1,0,0,1,1,0,7,idle
43793,1773612154.864639,1773612159.864639,11,66.72727272727273,5.815340215170719,3,3,2,2,1,1,3,8,idle
43794,1773612155.864639,1773612160.864639,11,66.72727272727273,5.815340215170719,3,3,2,2,1,1,3,8,idle
43795,1773612156.864639,1773612161.864639,11,66.72727272727273,5.815340215170719,3,3,2,2,1,1,3,8,idle
43796,1773612157.864639,1773612162.864639,7,64.85714285714286,6.718843437888483,3,3,2,2,1,1,3,4,idle
43797,1773612158.864639,1773612163.864639,4,61.0,6.6332495807108,3,3,2,2,1,1,3,1,idle
43799,1773612160.864639,1773612165.864639,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
43800,1773612161.864639,1773612166.864639,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
43801,1773612162.864639,1773612167.864639,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
43802,1773612163.864639,1773612168.864639,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
43803,1773612164.864639,1773612169.864639,9,155.66666666666666,128.92439645001252,4,4,5,5,0,0,9,0,bulbchange
43804,1773612165.864639,1773612170.864639,6,190.16666666666666,148.9341017586861,3,3,4,4,0,0,6,0,bulbchange
43805,1773612166.864639,1773612171.864639,6,190.16666666666666,148.9341017586861,3,3,4,4,0,0,6,0,bulbchange
43806,1773612167.864639,1773612172.864639,6,190.16666666666666,148.9341017586861,3,3,4,4,0,0,6,0,bulbchange
43807,1773612168.864639,1773612173.864639,6,190.16666666666666,148.9341017586861,3,3,4,4,0,0,6,0,idle
43818,1773612179.864639,1773612184.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43819,1773612180.864639,1773612185.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43820,1773612181.864639,1773612186.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43821,1773612182.864639,1773612187.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43822,1773612183.864639,1773612188.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43823,1773612184.864639,1773612189.864639,3,102.0,36.373066958946424,2,2,2,2,0,0,3,0,idle
43824,1773612185.864639,1773612190.864639,3,102.0,36.373066958946424,2,2,2,2,0,0,3,0,idle
43825,1773612186.864639,1773612191.864639,3,102.0,36.373066958946424,2,2,2,2,0,0,3,0,idle
43826,1773612187.864639,1773612192.864639,3,102.0,36.373066958946424,2,2,2,2,0,0,3,0,idle
43827,1773612188.864639,1773612193.864639,3,102.0,36.373066958946424,2,2,2,2,0,0,3,0,idle
43833,1773612194.864639,1773612199.864639,7,220.28571428571428,157.5898836492096,3,3,4,4,0,0,7,0,bulbchange
43834,1773612195.864639,1773612200.864639,12,192.83333333333334,145.91332005576794,3,3,4,4,0,0,12,0,bulbchange
43835,1773612196.864639,1773612201.864639,12,192.83333333333334,145.91332005576794,3,3,4,4,0,0,12,0,bulbchange
43836,1773612197.864639,1773612202.864639,12,192.83333333333334,145.91332005576794,3,3,4,4,0,0,12,0,bulbchange
43837,1773612198.864639,1773612203.864639,12,192.83333333333334,145.91332005576794,3,3,4,4,0,0,12,0,idle
43838,1773612199.864639,1773612204.864639,5,154.4,134.65622896843652,3,3,4,4,0,0,5,0,idle
43839,1773612200.864639,1773612205.864639,10,138.8,129.13713640932264,3,3,4,4,0,0,10,0,bulboff
43840,1773612201.864639,1773612206.864639,10,138.8,129.13713640932264,3,3,4,4,0,0,10,0,bulboff
43841,1773612202.864639,1773612207.864639,10,138.8,129.13713640932264,3,3,4,4,0,0,10,0,bulboff
43842,1773612203.864639,1773612208.864639,10,138.8,129.13713640932264,3,3,4,4,0,0,10,0,bulboff
43843,1773612204.864639,1773612209.864639,10,138.8,129.13713640932264,3,3,4,4,0,0,10,0,idle
43849,1773612210.864639,1773612215.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43850,1773612211.864639,1773612216.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43851,1773612212.864639,1773612217.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43852,1773612213.864639,1773612218.864639,6,67.33333333333333,13.880441875771343,3,3,4,4,0,0,6,0,idle
43853,1773612214.864639,1773612219.864639,9,68.22222222222223,11.05415959919362,4,4,4,4,1,1,6,3,bulbchange
43854,1773612215.864639,1773612220.864639,23,102.3913043478261,89.44157012487626,6,6,6,6,1,1,16,7,bulbchange
43855,1773612216.864639,1773612221.864639,24,101.04166666666667,87.72510382199447,6,6,6,6,1,1,16,8,bulbchange
43856,1773612217.864639,1773612222.864639,24,101.04166666666667,87.72510382199447,6,6,6,6,1,1,16,8,bulbchange
43857,1773612218.864639,1773612223.864639,21,104.52380952380952,93.42035059215901,6,6,6,6,1,1,13,8,idle
43858,1773612219.864639,1773612224.864639,18,110.27777777777777,100.11041290116543,6,6,6,6,1,1,13,5,idle
43859,1773612220.864639,1773612225.864639,1,70.0,,1,1,0,0,1,1,0,1,idle
43862,1773612223.864639,1773612228.864639,4,221.25,170.9646649652105,3,3,4,4,0,0,4,0,bulbon
43863,1773612224.864639,1773612229.864639,7,171.28571428571428,144.1280845703042,3,3,4,4,0,0,7,0,bulbon
43864,1773612225.864639,1773612230.864639,7,171.28571428571428,144.1280845703042,3,3,4,4,0,0,7,0,bulbon
43865,1773612226.864639,1773612231.864639,7,171.28571428571428,144.1280845703042,3,3,4,4,0,0,7,0,bulbon
43866,1773612227.864639,1773612232.864639,7,171.28571428571428,144.1280845703042,3,3,4,4,0,0,7,0,idle
43867,1773612228.864639,1773612233.864639,3,104.66666666666667,82.61557560976824,2,3,3,3,0,0,3,0,idle
43869,1773612230.864639,1773612235.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43870,1773612231.864639,1773612236.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43871,1773612232.864639,1773612237.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43872,1773612233.864639,1773612238.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43873,1773612234.864639,1773612239.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43878,1773612239.864639,1773612244.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43879,1773612240.864639,1773612245.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43880,1773612241.864639,1773612246.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43881,1773612242.864639,1773612247.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43882,1773612243.864639,1773612248.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43884,1773612245.864639,1773612250.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43885,1773612246.864639,1773612251.864639,10,140.5,136.3404643611801,4,4,5,5,0,0,10,0,bulbchange
43886,1773612247.864639,1773612252.864639,10,140.5,136.3404643611801,4,4,5,5,0,0,10,0,bulbchange
43887,1773612248.864639,1773612253.864639,10,140.5,136.3404643611801,4,4,5,5,0,0,10,0,bulbchange
43888,1773612249.864639,1773612254.864639,10,140.5,136.3404643611801,4,4,5,5,0,0,10,0,bulbchange
43889,1773612250.864639,1773612255.864639,7,175.85714285714286,151.71511523403393,3,3,4,4,0,0,7,0,idle
43897,1773612258.864639,1773612263.864639,7,171.71428571428572,144.81564635277303,3,3,4,4,0,0,7,0,bulboff
43898,1773612259.864639,1773612264.864639,7,171.71428571428572,144.81564635277303,3,3,4,4,0,0,7,0,bulboff
43899,1773612260.864639,1773612265.864639,7,171.71428571428572,144.81564635277303,3,3,4,4,0,0,7,0,bulboff
43900,1773612261.864639,1773612266.864639,10,137.6,130.3876272248764,4,4,5,5,0,0,10,0,bulboff
43901,1773612262.864639,1773612267.864639,10,137.6,130.3876272248764,4,4,5,5,0,0,10,0,idle
43902,1773612263.864639,1773612268.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43903,1773612264.864639,1773612269.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43904,1773612265.864639,1773612270.864639,10,137.5,130.18811176311164,4,4,5,5,0,0,10,0,bulbon
43905,1773612266.864639,1773612271.864639,7,171.57142857142858,144.58545010115085,3,3,4,4,0,0,7,0,bulbon
43906,1773612267.864639,1773612272.864639,7,171.57142857142858,144.58545010115085,3,3,4,4,0,0,7,0,bulbon
43907,1773612268.864639,1773612273.864639,7,171.57142857142858,144.58545010115085,3,3,4,4,0,0,7,0,bulbon
43908,1773612269.864639,1773612274.864639,7,171.57142857142858,144.58545010115085,3,3,4,4,0,0,7,0,idle
43909,1773612270.864639,1773612275.864639,5,86.0,12.68857754044952,4,4,3,3,0,0,5,0,idle
43910,1773612271.864639,1773612276.864639,6,81.66666666666667,15.539197748489677,4,4,3,3,0,0,6,0,idle
43911,1773612272.864639,1773612277.864639,6,81.66666666666667,15.539197748489677,4,4,3,3,0,0,6,0,idle
43912,1773612273.864639,1773612278.864639,6,81.66666666666667,15.539197748489677,4,4,3,3,0,0,6,0,idle
43913,1773612274.864639,1773612279.864639,6,81.66666666666667,15.539197748489677,4,4,3,3,0,0,6,0,idle
43914,1773612275.864639,1773612280.864639,1,60.0,,1,1,1,1,0,0,1,0,idle
43915,1773612276.864639,1773612281.864639,7,64.85714285714286,6.718843437888483,3,3,2,2,1,1,3,4,idle
43916,1773612277.864639,1773612282.864639,10,66.4,6.022181221672648,3,3,2,2,1,1,3,7,idle
43917,1773612278.864639,1773612283.864639,11,66.72727272727273,5.815340215170718,3,3,2,2,1,1,3,8,idle
43918,1773612279.864639,1773612284.864639,11,66.72727272727273,5.815340215170718,3,3,2,2,1,1,3,8,idle
43919,1773612280.864639,1773612285.864639,11,66.72727272727273,5.815340215170718,3,3,2,2,1,1,3,8,idle
43920,1773612281.864639,1773612286.864639,7,64.85714285714286,6.718843437888483,3,3,2,2,1,1,3,4,idle
43921,1773612282.864639,1773612287.864639,4,61.0,6.6332495807108,3,3,2,2,1,1,3,1,idle
43922,1773612283.864639,1773612288.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43923,1773612284.864639,1773612289.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43924,1773612285.864639,1773612290.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43931,1773612292.864639,1773612297.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43932,1773612293.864639,1773612298.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43933,1773612294.864639,1773612299.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43934,1773612295.864639,1773612300.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43935,1773612296.864639,1773612301.864639,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
43936,1773612297.864639,1773612302.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43937,1773612298.864639,1773612303.864639,11,161.1818181818182,146.40684286044706,4,4,5,5,0,0,11,0,bulbchange
43938,1773612299.864639,1773612304.864639,16,159.0625,138.33219377040666,4,4,5,5,0,0,16,0,bulbchange
43939,1773612300.864639,1773612305.864639,16,159.0625,138.33219377040666,4,4,5,5,0,0,16,0,bulbchange
43940,1773612301.864639,1773612306.864639,13,182.3846153846154,144.13566437072313,3,3,4,4,0,0,13,0,bulbchange
43941,1773612302.864639,1773612307.864639,13,182.3846153846154,144.13566437072313,3,3,4,4,0,0,13,0,idle
43942,1773612303.864639,1773612308.864639,5,154.4,134.65622896843652,3,3,4,4,0,0,5,0,idle
43947,1773612308.864639,1773612313.864639,1,368.0,,1,1,1,1,0,0,1,0,idle
43948,1773612309.864639,1773612314.864639,7,171.57142857142858,144.58890822242344,3,3,4,4,0,0,7,0,bulboff
43949,1773612310.864639,1773612315.864639,7,171.57142857142858,144.58890822242344,3,3,4,4,0,0,7,0,bulboff
43950,1773612311.864639,1773612316.864639,10,137.5,130.19067213556858,4,4,5,5,0,0,10,0,bulboff
43951,1773612312.864639,1773612317.864639,10,137.5,130.19067213556858,4,4,5,5,0,0,10,0,bulboff
43952,1773612313.864639,1773612318.864639,9,111.88888888888889,108.11619264065448,4,4,5,5,0,0,9,0,idle
43953,1773612314.864639,1773612319.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43954,1773612315.864639,1773612320.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43956,1773612317.864639,1773612322.864639,7,171.42857142857142,144.35818547725555,3,3,4,4,0,0,7,0,bulbon
43957,1773612318.864639,1773612323.864639,7,171.42857142857142,144.35818547725555,3,3,4,4,0,0,7,0,bulbon
43958,1773612319.864639,1773612324.864639,19,184.8421052631579,141.5117832384344,3,3,4,4,0,0,19,0,bulbon
43959,1773612320.864639,1773612325.864639,19,184.8421052631579,141.5117832384344,3,3,4,4,0,0,19,0,bulbon
43960,1773612321.864639,1773612326.864639,19,184.8421052631579,141.5117832384344,3,3,4,4,0,0,19,0,bulbchange
43961,1773612322.864639,1773612327.864639,12,192.66666666666666,145.6741902224608,3,3,4,4,0,0,12,0,bulbchange
43962,1773612323.864639,1773612328.864639,12,192.66666666666666,145.6741902224608,3,3,4,4,0,0,12,0,idle
43964,1773612325.864639,1773612330.864639,33,283.8787878787879,617.3692046486323,5,5,5,5,0,0,33,0,idle
43965,1773612326.864639,1773612331.864639,33,283.8787878787879,617.3692046486323,5,5,5,5,0,0,33,0,idle
43966,1773612327.864639,1773612332.864639,33,283.8787878787879,617.3692046486323,5,5,5,5,0,0,33,0,idle
43967,1773612328.864639,1773612333.864639,33,283.8787878787879,617.3692046486323,5,5,5,5,0,0,33,0,idle
43968,1773612329.864639,1773612334.864639,33,283.8787878787879,617.3692046486323,5,5,5,5,0,0,33,0,idle
43973,1773612334.864639,1773612339.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43974,1773612335.864639,1773612340.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43975,1773612336.864639,1773612341.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43976,1773612337.864639,1773612342.864639,5,62.8,7.014271166700073,3,3,2,2,1,1,3,2,idle
43977,1773612338.864639,1773612343.864639,8,65.5,6.48074069840786,3,3,2,2,1,1,3,5,idle
43978,1773612339.864639,1773612344.864639,17,113.0,108.0063655531469,4,4,4,4,1,1,9,8,bulbchange
43979,1773612340.864639,1773612345.864639,17,113.0,108.0063655531469,4,4,4,4,1,1,9,8,bulbchange
43980,1773612341.864639,1773612346.864639,17,113.0,108.0063655531469,4,4,4,4,1,1,9,8,bulbchange
43981,1773612342.864639,1773612347.864639,15,118.73333333333333,114.15995461673606,4,4,4,4,1,1,9,6,bulbchange
43982,1773612343.864639,1773612348.864639,12,130.91666666666666,125.60722209500632,4,4,4,4,1,1,9,3,idle
43988,1773612349.864639,1773612354.864639,11,98.0,29.448259710889538,7,7,2,2,2,2,3,8,idle
43989,1773612350.864639,1773612355.864639,11,98.0,29.448259710889538,7,7,2,2,2,2,3,8,idle
43990,1773612351.864639,1773612356.864639,11,98.0,29.448259710889538,7,7,2,2,2,2,3,8,idle
43991,1773612352.864639,1773612357.864639,11,98.0,29.448259710889538,7,7,2,2,2,2,3,8,idle
43992,1773612353.864639,1773612358.864639,11,98.0,29.448259710889538,7,7,2,2,2,2,3,8,idle
43993,1773612354.864639,1773612359.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43994,1773612355.864639,1773612360.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
