windowID,windowStart,windowEnd,packetCount,tcpPacketCount,udpPacketCount,tcpRatio,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,throughput,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,tcpSynCount,tcpAckCount,tcpFinCount,tcpRstCount,tcpPshCount,tcpSynOnlyCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetTo_loungeBulb,packetFrom_loungeBulb,packetTo_bedroomBulb,packetFrom_bedroomBulb,packetTo_camera,packetFrom_camera,packetTo_hub,packetFrom_hub,packetTo_plug,packetFrom_plug,tlsHandshakeCount,avgTLSRecordLen,avgUDPLen,DNSQueryCount,uniqueDNSQueries,label
1107,1774194990.906615,1774194991.906615,5,5,0,1.0,0.0,206.6,259.29192042946494,60,667,123.0,2,1,1033.0,2,2,199.0,76.68115805072325,190.2,261.00325668466286,2,2,150.2,261.00325668466286,3,0.6,1,27455.4,1609.0,0,5,0,0,3,0,0,0,0.017623999999999997,0.024707965142844117,0.0009,0.057586,0,0,0,0,0,0,2,3,0,0,0,245.33333333333334,,0,0,movingaroundhouse
1108,1774194996.520382,1774194997.520382,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,23430.0,2361.0,0,3,0,0,2,0,0,0,0.04070466666666666,0.04422818031903791,0.004798,0.090109,0,0,1,2,0,0,0,0,0,0,0,169.5,,0,0,bulbon
1109,1774195000.5239675,1774195001.5239675,5,5,0,1.0,0.0,191.6,142.38960636226224,60,373,123.0,2,0,958.0,4,4,199.0,76.68115805072325,176.4,143.7942975225374,3,3,136.4,143.7942975225374,4,0.8,2,27670.0,2198.0,0,5,0,0,4,0,0,0,0.031043400000000006,0.04542386406174623,0.003927,0.111016,0,0,0,0,0,0,1,1,1,2,0,165.5,,0,0,plugoff
1110,1774195009.6568189,1774195010.6568189,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,23299.333333333332,2165.0,0,3,0,0,2,0,0,0,0.03965833333333333,0.04400893920936215,0.002689,0.088338,0,0,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugon
1111,1774195011.284163,1774195012.284163,5,5,0,1.0,0.0,194.8,160.31437864396318,60,370,87.0,3,0,974.0,2,2,199.0,76.68115805072325,179.6,161.5930072744486,2,2,139.6,161.5930072744486,4,0.8,1,27610.8,2295.0,0,5,0,0,4,0,0,0,0.024485200000000002,0.01633586322175844,0.000228,0.046043,0,0,2,3,0,0,0,0,0,0,0,169.5,,0,0,bulbchange
1112,1774195027.7889357,1774195028.7889357,6,6,0,1.0,0.0,124.83333333333333,121.73974973962558,60,372,85.0,5,0,749.0,4,4,208.33333333333334,72.29568912920512,108.83333333333333,123.05026073384269,2,2,68.83333333333333,123.05026073384269,4,0.6666666666666666,2,23572.666666666668,2264.0,0,6,0,0,4,0,0,0,0.04881183333333333,0.042310955396524276,0.014849,0.114633,1,2,1,2,0,0,0,0,0,0,0,98.25,,0,0,bulboff
1113,1774195033.7867327,1774195034.7867327,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,23277.333333333332,2132.0,0,3,0,0,2,0,0,0,0.031095,0.03535989085107589,0.002159,0.07051,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugoff
1114,1774195034.8246737,1774195035.8246737,6,6,0,1.0,0.0,190.5,234.714933483151,60,667,104.0,3,1,1143.0,4,4,185.0,76.68115805072325,175.5,235.3939251552597,3,3,135.5,235.3939251552597,5,0.8333333333333334,2,34027.166666666664,2132.0,0,6,0,0,5,0,0,0,0.06175883333333334,0.07627872834654931,0.001677,0.169067,0,0,0,0,0,0,2,2,1,1,0,157.6,,0,0,movingaroundhouse
1115,1774195037.1644285,1774195038.1644285,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23758.666666666668,2854.0,0,3,0,0,2,0,0,0,0.028353000000000003,0.027810194174079404,0.001503,0.057033,1,2,0,0,0,0,0,0,0,0,0,170.0,,0,0,bulbon
1116,1774195045.64661,1774195046.64661,6,6,0,1.0,0.0,172.83333333333334,154.35986093109395,60,372,87.0,4,0,1037.0,4,4,208.33333333333334,72.29568912920512,156.83333333333334,156.13509108034194,2,2,116.83333333333333,156.13509108034194,4,0.6666666666666666,2,23485.666666666668,2068.0,0,6,0,0,4,0,0,0,0.037713500000000004,0.0306246042505042,0.01185,0.086904,1,2,0,0,0,0,0,0,1,2,0,170.25,,0,0,bulbchange
