windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount
98,1770807919.809892,1770807924.809892,7.0,220.28571428571428,260.4398294460829,3.0,2.0,2.0,2.0,5.0,0.0
99,1770807924.809892,1770807929.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1770807929.809892,1770807934.809892,65.0,76.0923076923077,94.13200888196239,2.0,2.0,2.0,2.0,5.0,60.0
101,1770807934.809892,1770807939.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
102,1770807939.809892,1770807944.809892,7.0,221.0,260.8128319951557,3.0,3.0,4.0,4.0,7.0,0.0
103,1770807944.809892,1770807949.809892,59.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,55.0
104,1770807949.809892,1770807954.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
105,1770807954.809892,1770807959.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1770807959.809892,1770807964.809892,63.0,76.60317460317461,95.5931465492098,2.0,2.0,2.0,2.0,5.0,58.0
107,1770807964.809892,1770807969.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
108,1770807969.809892,1770807974.809892,7.0,221.0,260.8128319951557,3.0,3.0,4.0,4.0,7.0,0.0
109,1770807974.809892,1770807979.809892,63.0,60.714285714285715,4.959281202561813,3.0,3.0,2.0,2.0,2.0,59.0
110,1770807979.809892,1770807984.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
111,1770807984.809892,1770807989.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1770807989.809892,1770807994.809892,67.0,75.61194029850746,92.73585087271961,2.0,2.0,2.0,2.0,5.0,62.0
113,1770807994.809892,1770807999.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
114,1770807999.809892,1770808004.809892,7.0,221.0,260.8128319951557,3.0,3.0,4.0,4.0,7.0,0.0
115,1770808004.809892,1770808009.809892,59.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,57.0
116,1770808009.809892,1770808014.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
117,1770808014.809892,1770808019.809892,184.0,257.625,384.4791319029583,3.0,3.0,4.0,4.0,184.0,0.0
118,1770808019.809892,1770808024.809892,373.0,306.4182305630027,470.2720865261704,3.0,3.0,4.0,4.0,313.0,60.0
119,1770808024.809892,1770808029.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1770808029.809892,1770808034.809892,221.0,222.85067873303169,289.4244922129416,5.0,5.0,5.0,5.0,219.0,2.0
121,1770808034.809892,1770808039.809892,1102.0,796.3466424682396,718.3063688876348,6.0,6.0,11.0,11.0,1041.0,59.0
122,1770808039.809892,1770808044.809892,130.0,1085.6,652.7102185942581,4.0,4.0,5.0,5.0,130.0,0.0
123,1770808044.809892,1770808049.809892,135.0,1184.3703703703704,605.2373993428486,2.0,2.0,2.0,2.0,135.0,0.0
124,1770808049.809892,1770808054.809892,194.0,879.0,725.1794132124479,3.0,3.0,4.0,4.0,138.0,56.0
125,1770808054.809892,1770808059.809892,176.0,1145.721590909091,637.6610445681467,3.0,2.0,2.0,3.0,176.0,0.0
126,1770808059.809892,1770808064.809892,130.0,1058.5384615384614,666.099710321689,4.0,4.0,5.0,5.0,130.0,0.0
127,1770808064.809892,1770808069.809892,211.0,893.1706161137441,717.1921435372275,4.0,4.0,3.0,3.0,155.0,54.0
128,1770808069.809892,1770808074.809892,155.0,981.8967741935484,695.8951086638373,3.0,3.0,4.0,4.0,155.0,0.0
129,1770808074.809892,1770808079.809892,178.0,1210.5056179775281,590.0460888557009,2.0,2.0,2.0,2.0,178.0,0.0
130,1770808079.809892,1770808084.809892,194.0,742.5876288659794,719.9092307864588,4.0,4.0,5.0,5.0,136.0,58.0
131,1770808084.809892,1770808089.809892,147.0,1108.3061224489795,661.4156425596032,3.0,3.0,3.0,3.0,145.0,0.0
132,1770808089.809892,1770808094.809892,121.0,1122.7685950413222,647.5174612874747,4.0,4.0,5.0,5.0,121.0,0.0
133,1770808094.809892,1770808099.809892,290.0,843.4,725.9981879165615,7.0,7.0,4.0,4.0,198.0,62.0
134,1770808099.809892,1770808104.809892,114.0,1155.561403508772,620.3581899248708,3.0,3.0,4.0,4.0,114.0,0.0
135,1770808104.809892,1770808109.809892,138.0,1159.695652173913,623.4260837330828,2.0,2.0,2.0,2.0,138.0,0.0
136,1770808109.809892,1770808114.809892,248.0,951.9758064516129,719.0276831450243,3.0,3.0,4.0,4.0,195.0,53.0
137,1770808114.809892,1770808119.809892,3.0,85.0,43.30127018922193,1.0,1.0,1.0,1.0,1.0,0.0
138,1770808119.809892,1770808124.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
139,1770808124.809892,1770808129.809892,56.0,73.07142857142857,53.317865722427456,3.0,3.0,3.0,2.0,10.0,46.0
140,1770808129.809892,1770808134.809892,430.0,1052.4511627906977,684.8113116577458,3.0,3.0,6.0,5.0,430.0,0.0
141,1770808134.809892,1770808139.809892,116.0,1190.8275862068965,634.8991330482562,2.0,2.0,3.0,2.0,116.0,0.0
142,1770808139.809892,1770808144.809892,130.0,864.0307692307692,747.1904475683482,3.0,3.0,5.0,4.0,99.0,31.0
143,1770808144.809892,1770808149.809892,179.0,1232.2625698324023,591.2081548449383,3.0,2.0,2.0,3.0,179.0,0.0
144,1770808149.809892,1770808154.809892,191.0,1111.4293193717278,671.4544809426437,4.0,4.0,5.0,5.0,189.0,0.0
145,1770808154.809892,1770808159.809892,177.0,801.2598870056497,751.9002292872772,4.0,4.0,4.0,3.0,116.0,61.0
146,1770808159.809892,1770808164.809892,117.0,1182.5982905982905,665.7416406279679,3.0,3.0,4.0,4.0,117.0,0.0
147,1770808164.809892,1770808169.809892,193.0,1271.1813471502592,614.9209749907645,2.0,2.0,2.0,2.0,193.0,0.0
148,1770808169.809892,1770808174.809892,142.0,985.3239436619718,728.204072298416,3.0,3.0,4.0,4.0,117.0,25.0
149,1770808174.809892,1770808179.809892,112.0,1231.642857142857,637.7015577096206,3.0,3.0,3.0,3.0,112.0,0.0
