windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,label
53431,1773402939.767854,1773402944.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53432,1773402940.767854,1773402945.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53433,1773402941.767854,1773402946.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53434,1773402942.767854,1773402947.767854,1,60.0,,1,1,1,1,0,0,1,0,idle
53440,1773402948.767854,1773402953.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53441,1773402949.767854,1773402954.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53442,1773402950.767854,1773402955.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53443,1773402951.767854,1773402956.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53444,1773402952.767854,1773402957.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53445,1773402953.767854,1773402958.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53446,1773402954.767854,1773402959.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53447,1773402955.767854,1773402960.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53448,1773402956.767854,1773402961.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53449,1773402957.767854,1773402962.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53455,1773402963.767854,1773402968.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53456,1773402964.767854,1773402969.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53457,1773402965.767854,1773402970.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53458,1773402966.767854,1773402971.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53459,1773402967.767854,1773402972.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
