frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name,tcp.window_size_value,tls.record.length,tls.handshake.type,udp.length
1774113329.446765000,0.109304000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113329.747811000,0.051096000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113330.043689000,0.017743000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113330.343866000,0.088758000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113330.648844000,0.159029000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113330.954244000,0.003092000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113331.250899000,0.070875000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113331.550664000,0.006887000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113331.655881000,0.017878000,371,192.168.0.52,3.248.160.245,6,255,357,317,0x0018,10,52433,443,,,,2468,312,,
1774113331.683270000,0.027389000,87,3.248.160.245,192.168.0.52,6,115,73,33,0x0018,10,443,52433,,,,64032,28,,
1774113331.799298000,0.011927000,60,192.168.0.52,3.248.160.245,6,255,40,0,0x0010,10,52433,443,,,,2435,,,
1774113347.999514000,0.046605000,370,192.168.0.52,3.248.160.245,6,255,356,316,0x0018,10,52433,443,,,,2435,311,,
1774113348.027238000,0.027724000,87,3.248.160.245,192.168.0.52,6,115,73,33,0x0018,10,443,52433,,,,64032,28,,
1774113348.051560000,0.024322000,60,192.168.0.52,3.248.160.245,6,255,40,0,0x0010,10,52433,443,,,,2402,,,
1774113358.452947000,0.000871000,371,192.168.0.52,3.248.160.245,6,255,357,317,0x0018,10,52433,443,,,,2402,312,,
1774113358.479099000,0.026152000,87,3.248.160.245,192.168.0.52,6,115,73,33,0x0018,10,443,52433,,,,64032,28,,
1774113358.602702000,0.058463000,60,192.168.0.52,3.248.160.245,6,255,40,0,0x0010,10,52433,443,,,,2369,,,
1774113363.818697000,0.007140000,667,192.168.0.200,54.75.203.10,6,255,653,613,0x0018,19,52536,443,,,,2368,608,,
1774113363.842811000,0.020625000,60,54.75.203.10,192.168.0.200,6,115,40,0,0x0010,19,443,52536,,,,65535,,,
1774113363.844358000,0.001547000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113363.844358000,0.000000000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113363.852051000,0.007693000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2230,,,
1774113373.813144000,0.008174000,315,192.168.0.200,54.75.203.10,6,255,301,261,0x0018,19,52536,443,,,,2230,256,,
1774113373.839971000,0.026827000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113374.052746000,0.016811000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2161,,,
1774113375.153725000,0.029334000,97,192.168.0.55,54.75.203.10,6,64,83,31,0x0018,5,52702,443,,,,5283,26,,
1774113375.180010000,0.015910000,97,54.75.203.10,192.168.0.55,6,115,83,31,0x0018,5,443,52702,,,,503,26,,
1774113375.181144000,0.001134000,66,192.168.0.55,54.75.203.10,6,64,52,0,0x0010,5,52702,443,,,,5283,,,
1774113375.659514000,0.077811000,373,192.168.0.59,52.50.169.45,6,255,359,319,0x0018,81,52433,443,,,,2757,314,,
1774113375.688100000,0.021332000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113375.814785000,0.004038000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2724,,,
1774113388.796638000,0.008200000,372,192.168.0.59,52.50.169.45,6,255,358,318,0x0018,81,52433,443,,,,2724,313,,
1774113388.823620000,0.015680000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113389.081823000,0.010744000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2691,,,
1774113392.748494000,0.010089000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113393.042239000,0.003175000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113393.345254000,0.143312000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113393.658888000,0.000579000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113393.956242000,0.043227000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113394.253445000,0.135674000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113394.547334000,0.122296000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113394.845328000,0.038870000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113406.459722000,0.083433000,372,192.168.0.47,52.49.92.112,6,255,358,318,0x0018,71,52433,443,,,,2350,313,,
1774113406.488998000,0.029276000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113406.570941000,0.010995000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2317,,,
1774113419.496777000,0.030515000,85,192.168.0.47,52.49.92.112,6,255,71,31,0x0018,71,52433,443,,,,2317,26,,
1774113419.521923000,0.007419000,85,52.49.92.112,192.168.0.47,6,115,71,31,0x0018,71,443,52433,,,,64032,26,,
1774113419.574342000,0.052419000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2286,,,
1774113420.496092000,0.048188000,85,192.168.0.59,52.50.169.45,6,255,71,31,0x0018,81,52433,443,,,,2691,26,,
1774113420.522001000,0.025909000,85,52.50.169.45,192.168.0.59,6,115,71,31,0x0018,81,443,52433,,,,64108,26,,
1774113420.567284000,0.015269000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2660,,,
1774113430.183765000,0.044804000,97,192.168.0.55,54.75.203.10,6,64,83,31,0x0018,5,52702,443,,,,5283,26,,
1774113430.228633000,0.001377000,97,54.75.203.10,192.168.0.55,6,115,83,31,0x0018,5,443,52702,,,,503,26,,
1774113430.229797000,0.001164000,66,192.168.0.55,54.75.203.10,6,64,52,0,0x0010,5,52702,443,,,,5283,,,
1774113430.736189000,0.064336000,371,192.168.0.47,52.49.92.112,6,255,357,317,0x0018,71,52433,443,,,,2286,312,,
1774113430.762853000,0.026664000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113430.880772000,0.000364000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2253,,,
1774113430.884779000,0.001802000,371,192.168.0.47,52.49.92.112,6,255,357,317,0x0018,71,52433,443,,,,2253,312,,
1774113430.911181000,0.009936000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113430.980221000,0.001656000,371,192.168.0.47,52.49.92.112,6,255,357,317,0x0018,71,52433,443,,,,2220,312,,
1774113431.010248000,0.030027000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113431.132175000,0.003126000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2187,,,
1774113447.761980000,0.079845000,667,192.168.0.200,54.75.203.10,6,255,653,613,0x0018,19,52536,443,,,,2161,608,,
1774113447.788991000,0.027011000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113447.790615000,0.001624000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113447.792430000,0.001815000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2023,,,
1774113455.877820000,0.033067000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113456.182793000,0.019341000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113456.483803000,0.092457000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113456.785928000,0.166786000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113457.087796000,0.007295000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113457.381821000,0.074052000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113457.688482000,0.153325000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113457.770073000,0.000000000,315,192.168.0.200,54.75.203.10,6,255,301,261,0x0018,19,52536,443,,,,2023,256,,
1774113457.798625000,0.028518000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113457.831604000,0.029809000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,1954,,,
1774113458.001559000,0.000573000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113466.929593000,0.010992000,373,192.168.0.59,52.50.169.45,6,255,359,319,0x0018,81,52433,443,,,,2660,314,,
1774113466.958106000,0.023250000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113467.207076000,0.004415000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2627,,,
1774113480.061923000,0.013398000,372,192.168.0.59,52.50.169.45,6,255,358,318,0x0018,81,52433,443,,,,2627,313,,
1774113480.090046000,0.023926000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113480.286844000,0.031562000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2594,,,
1774113485.467617000,0.000334000,97,192.168.0.55,54.75.203.10,6,64,83,31,0x0018,5,52702,443,,,,5283,26,,
1774113485.494734000,0.022533000,97,54.75.203.10,192.168.0.55,6,115,83,31,0x0018,5,443,52702,,,,503,26,,
1774113485.495731000,0.000997000,66,192.168.0.55,54.75.203.10,6,64,52,0,0x0010,5,52702,443,,,,5283,,,
1774113486.211938000,0.000523000,371,192.168.0.52,3.248.160.245,6,255,357,317,0x0018,10,52433,443,,,,2369,312,,
1774113486.237943000,0.014501000,87,3.248.160.245,192.168.0.52,6,115,73,33,0x0018,10,443,52433,,,,64032,28,,
1774113486.361316000,0.009047000,60,192.168.0.52,3.248.160.245,6,255,40,0,0x0010,10,52433,443,,,,2336,,,
1774113492.399838000,0.000226000,123,192.168.0.200,54.75.203.10,6,255,109,69,0x0018,19,52536,443,,,,1954,64,,
1774113492.426969000,0.003587000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113492.599529000,0.062938000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,1885,,,
1774113502.007371000,0.040680000,372,192.168.0.47,52.49.92.112,6,255,358,318,0x0018,71,52433,443,,,,2187,313,,
1774113502.035230000,0.027859000,87,52.49.92.112,192.168.0.47,6,115,73,33,0x0018,71,443,52433,,,,64032,28,,
1774113502.152987000,0.020036000,60,192.168.0.47,52.49.92.112,6,255,40,0,0x0010,71,52433,443,,,,2154,,,
1774113503.224358000,0.000029000,85,192.168.0.52,3.248.160.245,6,255,71,31,0x0018,10,52433,443,,,,2336,26,,
1774113503.249872000,0.022874000,85,3.248.160.245,192.168.0.52,6,115,71,31,0x0018,10,443,52433,,,,64032,26,,
