windowID,windowStart,windowEnd,packetCount,tcpPacketCount,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,avgTCPWindowSize,ackCount,avgInterArrivalTime,stdInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,avgTimeDelta,stdTimeDelta,label
37,1774266733.291387,1774266735.291387,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,22583.0,3,0.018171,0.01677287169807246,1,2,0,0,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,0.043376,0.020299621474303406,0.018171,0.01677287169807246,bulbOff
38,1774266738.2607846,1774266740.2607846,9,3,104.33333333333333,100.61312041677269,60,372,70.0,8,0,469.5,3,3,239.44444444444446,46.666666666666664,89.66666666666667,100.96286446015682,2,2,117.0,174.85136545077364,2,0.6666666666666666,23067.333333333332,3,0.053141999999999995,0.05972894570683464,0,0,0,0,0,0,0,6,1,2,0,0,0,170.5,201.52543263816605,0.12292700000000001,0.13057292400034548,0.012786333333333332,0.01532812690231045,plugOn
39,1774266746.6491575,1774266748.6491575,12,3,103.25,84.69530951915493,60,371,83.0,11,0,619.5,4,5,95.9,89.37119844284909,95.3,92.42660752065814,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,22561.0,3,0.030761249999999993,0.04165219220712268,1,2,0,0,0,7,0,0,0,0,0,0,0,170.0,200.8183258569795,0.0541865,0.02753685937974772,0.06173000000000001,0.0397643713768997,bulbOn
40,1774266768.863246,1774266770.863246,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,259.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23092.666666666668,3,0.032855999999999996,0.016356891758521848,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.09983500000000001,0.10392914048523638,0.032855999999999996,0.016356891758521848,bulbChange
41,1774266783.02653,1774266785.02653,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23070.666666666668,3,0.04045966666666667,0.02659520966891093,0,0,1,2,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,0.051999500000000004,0.02690612013092932,0.04045966666666667,0.02659520966891093,bulbOff
42,1774266797.4581962,1774266799.4581962,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,259.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23048.666666666668,3,0.020076333333333335,0.011185658243185037,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.1299585,0.12078727325550487,0.020076333333333335,0.011185658243185037,bulbOn
43,1774266803.054236,1774266805.054236,6,3,121.0,121.80640377254392,60,369,70.0,5,0,363.0,3,3,231.66666666666666,57.154760664940824,106.0,122.43038838458368,2,2,116.0,173.1271209256366,2,0.6666666666666666,22539.0,3,0.029356000000000004,0.02823026035303252,1,2,0,0,0,0,0,3,0,0,0,0,0,169.0,199.4041122946064,0.0566775,0.03374384270500323,0.04635166666666666,0.02981932196300468,bulbChange
44,1774266834.841875,1774266836.841875,6,6,129.5,118.84569828142708,60,370,92.0,5,0,388.5,4,4,144.66666666666666,88.45488492257884,114.5,119.57048130705171,3,3,68.5,122.24033704142018,4,0.6666666666666666,13294.333333333334,6,0.0249525,0.023911436935073558,1,2,0,0,1,2,0,0,0,0,0,0,0,97.75,142.16979285347503,0.0145845,0.013612909963217514,0.0249525,0.023911436935073558,bulbOff
45,1774266845.1151645,1774266847.1151645,7,7,156.14285714285714,146.25027472501668,60,370,87.0,5,0,546.5,2,2,175.0,74.83314773547883,139.57142857142858,148.24400734696061,2,2,99.57142857142857,148.24400734696061,4,0.5714285714285714,37831.71428571428,7,0.013629857142857143,0.02426922289257577,4,3,0,0,0,0,0,0,0,0,0,0,0,169.25,163.10196197471078,0.03292433333333334,0.033498050127333284,0.013629857142857143,0.02426922289257577,bulbOn
46,1774266845.3013265,1774266847.3013265,7,7,156.14285714285714,146.25027472501668,60,370,87.0,5,0,546.5,2,2,175.0,74.83314773547883,139.57142857142858,148.24400734696061,2,2,99.57142857142857,148.24400734696061,4,0.5714285714285714,37831.71428571428,7,0.013629857142857143,0.02426922289257577,4,3,0,0,0,0,0,0,0,0,0,0,0,169.25,163.10196197471078,0.03292433333333334,0.033498050127333284,0.013629857142857143,0.02426922289257577,bulbChange
