windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
352,1773351268.767854,1773351273.767854,380,1004.5105263157894,790.756941661597,2,2,3,3,380,0,idle
353,1773351273.767854,1773351278.767854,17,191.7058823529412,149.91446090432802,3,3,4,4,17,0,bulbchange
354,1773351278.767854,1773351283.767854,53,230.16981132075472,392.56169215556497,3,3,3,3,53,0,bulboff
355,1773351283.767854,1773351288.767854,9,181.0,148.18400723424912,3,3,4,4,9,0,bulboff
356,1773351288.767854,1773351293.767854,3,138.33333333333334,98.10368664496424,2,2,2,2,3,0,idle
357,1773351293.767854,1773351298.767854,12,157.33333333333334,133.45161420280135,5,5,5,5,12,0,bulbon
360,1773351308.767854,1773351313.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
363,1773351323.767854,1773351328.767854,11,66.72727272727273,5.815340215170721,3,3,2,2,3,8,idle
366,1773351338.767854,1773351343.767854,31,163.41935483870967,141.65139702653795,5,5,6,6,31,0,bulbchange
367,1773351343.767854,1773351348.767854,8,168.375,207.72986407488796,4,4,4,4,8,0,bulboff
368,1773351348.767854,1773351353.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
369,1773351353.767854,1773351358.767854,15,153.4,132.45042199145416,6,6,6,6,15,0,bulbon
370,1773351358.767854,1773351363.767854,12,58.0,2.9541957835039856,3,3,3,3,12,0,idle
9439,1773396703.767854,1773396708.767854,39,118.35897435897436,68.23584764757844,3,3,3,3,39,0,idle
9441,1773396713.767854,1773396718.767854,4,243.25,284.05677249451384,2,2,2,2,4,0,idle
9442,1773396718.767854,1773396723.767854,6,58.0,3.098386676965933,3,3,3,3,6,0,idle
9443,1773396723.767854,1773396728.767854,11,96.18181818181819,74.42690129491915,2,3,2,2,3,8,idle
9444,1773396728.767854,1773396733.767854,457,93.80743982494529,17.863950682906207,2,2,2,2,457,0,idle
9445,1773396733.767854,1773396738.767854,599,94.34724540901503,20.97712454330254,5,5,5,5,599,0,idle
9446,1773396738.767854,1773396743.767854,833,94.6422569027611,24.74167965615835,5,5,6,6,833,0,bulboff
9447,1773396743.767854,1773396748.767854,806,93.80645161290323,18.185579108665515,2,2,2,2,806,0,idle
9448,1773396748.767854,1773396753.767854,943,98.53022269353129,79.45161628173784,4,4,4,4,943,0,idle
9449,1773396753.767854,1773396758.767854,155,92.02580645161291,16.317844740506715,6,6,6,6,155,0,bulbon
9450,1773396758.767854,1773396763.767854,9,181.11111111111111,148.3454114932818,3,3,4,4,9,0,bulbon
9451,1773396763.767854,1773396768.767854,7,58.285714285714285,2.9277002188455996,2,2,2,2,7,0,idle
9453,1773396773.767854,1773396778.767854,19,177.68421052631578,147.80657504228625,3,3,4,4,19,0,bulbchange
9455,1773396783.767854,1773396788.767854,8,70.0,0.0,1,1,0,0,0,8,idle
9456,1773396788.767854,1773396793.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9458,1773396798.767854,1773396803.767854,3,76.66666666666667,14.433756729740647,2,2,2,2,3,0,idle
9459,1773396803.767854,1773396808.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,bulboff
9460,1773396808.767854,1773396813.767854,12,157.41666666666666,133.59739949383427,5,5,5,5,12,0,bulboff
9463,1773396823.767854,1773396828.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9464,1773396828.767854,1773396833.767854,18,180.88888888888889,143.60357561044424,3,3,4,4,18,0,bulbon
9466,1773396838.767854,1773396843.767854,3,102.0,36.373066958946424,2,2,2,2,3,0,idle
9467,1773396843.767854,1773396848.767854,595,99.58655462184873,91.88015811523783,5,5,4,4,591,4,idle
9468,1773396848.767854,1773396853.767854,141,97.17021276595744,44.511628889347314,6,6,6,6,137,4,bulbchange
9470,1773396858.767854,1773396863.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9471,1773396863.767854,1773396868.767854,6,72.33333333333333,19.479904174986764,4,4,4,4,6,0,idle
9473,1773396873.767854,1773396878.767854,27,183.25925925925927,145.66917011676534,5,5,6,6,27,0,bulbchange
9476,1773396888.767854,1773396893.767854,5,57.6,3.2863353450309964,2,3,3,2,5,0,idle
9477,1773396893.767854,1773396898.767854,469,106.24307036247335,187.88138585162474,4,5,5,5,469,0,idle
9478,1773396898.767854,1773396903.767854,287,97.51567944250871,35.48572447347487,5,5,6,6,287,0,bulbon
9479,1773396903.767854,1773396908.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9480,1773396908.767854,1773396913.767854,8,70.0,0.0,1,1,0,0,0,8,idle
9481,1773396913.767854,1773396918.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9482,1773396918.767854,1773396923.767854,6,72.33333333333333,19.479904174986764,4,4,4,4,6,0,bulbchange
9483,1773396923.767854,1773396928.767854,8,203.75,161.127057229469,3,3,4,4,8,0,bulbchange
9484,1773396928.767854,1773396933.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,bulboff
9485,1773396933.767854,1773396938.767854,9,180.77777777777777,147.86292450930506,3,3,4,4,9,0,bulboff
9487,1773396943.767854,1773396948.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9488,1773396948.767854,1773396953.767854,12,150.0,137.64579047818222,3,3,4,4,12,0,bulbon
9490,1773396958.767854,1773396963.767854,4,58.5,3.0,2,2,2,2,4,0,idle
9491,1773396963.767854,1773396968.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9492,1773396968.767854,1773396973.767854,21,119.66666666666667,117.07490479745577,4,4,4,4,13,8,bulbchange
9493,1773396973.767854,1773396978.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
9494,1773396978.767854,1773396983.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9495,1773396983.767854,1773396988.767854,541,105.64510166358595,177.09367608760374,4,4,4,4,541,0,idle
9496,1773396988.767854,1773396993.767854,789,94.58808618504436,23.54602168241389,2,2,2,2,789,0,idle
9497,1773396993.767854,1773396998.767854,474,92.87763713080169,15.929210669225906,4,4,4,4,474,0,idle
9498,1773396998.767854,1773397003.767854,756,96.04232804232804,53.42099006452152,6,6,6,6,756,0,idle
9499,1773397003.767854,1773397008.767854,956,95.99581589958159,26.020048316867996,2,2,2,2,956,0,idle
9500,1773397008.767854,1773397013.767854,1036,100.97200772200772,71.16557673688628,5,5,7,7,1036,0,bulboff
9501,1773397013.767854,1773397018.767854,337,95.19881305637982,31.015245844220683,6,6,7,7,337,0,bulbon
9502,1773397018.767854,1773397023.767854,1,60.0,,1,1,1,1,1,0,bulbon
9504,1773397028.767854,1773397033.767854,7,70.57142857142857,18.3834811978684,4,4,4,4,7,0,bulbchange
9505,1773397033.767854,1773397038.767854,20,118.0,112.18640503057493,4,4,4,4,12,8,bulbchange
9506,1773397038.767854,1773397043.767854,3,102.0,36.373066958946424,2,2,2,2,3,0,idle
9508,1773397048.767854,1773397053.767854,5,182.0,169.81166037701888,2,2,2,2,5,0,bulboff
9509,1773397053.767854,1773397058.767854,7,127.28571428571429,118.8650695616873,3,3,4,4,7,0,bulboff
9512,1773397068.767854,1773397073.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,bulbon
9513,1773397073.767854,1773397078.767854,18,180.66666666666666,143.2932000356981,3,3,4,4,18,0,bulbon
9515,1773397083.767854,1773397088.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
9516,1773397088.767854,1773397093.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9517,1773397093.767854,1773397098.767854,19,127.42105263157895,120.95651918009109,6,6,5,5,11,8,bulbchange
9519,1773397103.767854,1773397108.767854,9,180.88888888888889,148.02317761455842,3,3,4,4,9,0,bulboff
9521,1773397113.767854,1773397118.767854,314,93.64331210191082,17.86495766347115,2,2,2,2,314,0,idle
9522,1773397118.767854,1773397123.767854,905,102.72265193370166,108.17682276767928,4,5,5,5,905,0,bulbon
9523,1773397123.767854,1773397128.767854,21,92.80952380952381,30.879797680067544,5,5,6,6,21,0,bulbon
9525,1773397133.767854,1773397138.767854,23,158.30434782608697,140.23371232034845,3,3,4,4,23,0,bulbchange
9526,1773397138.767854,1773397143.767854,6,72.33333333333333,19.479904174986764,4,4,4,4,6,0,idle
