frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770808140.990030000,81.20.48.146,192.168.0.35,57,0x0018,242,6,950,443,50130,,
1770808140.991123000,192.168.0.35,81.20.48.146,64,0x0010,0,6,60,50130,443,,
1770808141.260969000,81.20.48.146,192.168.0.35,57,0x0010,242,6,60,443,50130,,
1770808141.281875000,192.168.0.35,81.20.48.146,64,0x0010,0,6,60,50130,443,,
1770808141.797014000,81.20.48.146,192.168.0.35,57,0x0010,242,6,60,443,50130,,
1770808141.798404000,192.168.0.35,81.20.48.146,64,0x0010,0,6,60,50130,443,,
1770808141.870742000,192.168.0.35,81.20.48.146,64,0x0010,400,6,60,50130,443,,
1770808141.889163000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.889259000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.889403000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.889509000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.889656000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.889751000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.889900000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.889997000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.890145000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.890242000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.890392000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.890489000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.890638000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.890741000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.890879000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.890985000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.891134000,81.20.48.146,192.168.0.35,57,0x0018,242,6,2294,443,50130,,
1770808141.892196000,192.168.0.35,81.20.48.146,64,0x0010,379,6,60,50130,443,,
1770808141.928658000,192.168.0.35,81.20.48.146,64,0x0010,2,6,60,50130,443,,
1770808141.969302000,192.168.0.35,81.20.48.146,64,0x0010,400,6,60,50130,443,,
1770808141.985380000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.985475000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.985624000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.985721000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.985870000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.985967000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.986116000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.986213000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.986362000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.986466000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.986603000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.986710000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.986856000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.986951000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808141.987100000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808141.987180000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1298,443,50130,,
1770808141.987332000,81.20.48.146,192.168.0.35,57,0x0018,242,6,2510,443,50130,,
1770808142.040679000,192.168.0.35,81.20.48.146,64,0x0010,0,6,66,50130,443,,
1770808142.309381000,81.20.48.146,192.168.0.35,57,0x0010,242,6,60,443,50130,,
1770808142.322403000,192.168.0.35,81.20.48.146,64,0x0010,0,6,60,50130,443,,
1770808142.845000000,81.20.48.146,192.168.0.35,57,0x0010,242,6,60,443,50130,,
1770808142.846432000,192.168.0.35,81.20.48.146,64,0x0010,0,6,60,50130,443,,
1770808143.884836000,81.20.48.146,192.168.0.35,57,0x0010,242,6,60,443,50130,,
1770808143.890448000,192.168.0.35,81.20.48.146,64,0x0010,0,6,60,50130,443,,
1770808144.337222000,192.168.0.35,81.20.48.146,64,0x0011,5406,6,60,50127,443,,
1770808145.198496000,192.168.0.35,81.20.48.146,64,0x0010,422,6,60,50130,443,,
1770808145.217927000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.219678000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.219975000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.221549000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.221700000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.221804000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.221943000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.223354000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.223526000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.223622000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.223772000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.223868000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.224018000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.224121000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.224259000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.224365000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.224511000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.224607000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.247009000,192.168.0.35,81.20.48.146,64,0x0010,400,6,60,50130,443,,
1770808145.281274000,192.168.0.35,81.20.48.146,64,0x0010,13,6,60,50130,443,,
1770808145.295294000,192.168.0.35,81.20.48.146,64,0x0010,422,6,60,50130,443,,
1770808145.312466000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.312562000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.312712000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.312808000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.312958000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.313054000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.313203000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.313307000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.313445000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.313550000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.313696000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.313792000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.313942000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.314045000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.314183000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.314289000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.314435000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.314530000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.358259000,192.168.0.35,81.20.48.146,64,0x0010,12,6,60,50130,443,,
1770808145.495753000,192.168.0.35,81.20.48.146,64,0x0010,422,6,60,50130,443,,
1770808145.511551000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.511648000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.511797000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.511893000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.512043000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.512140000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.512289000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.512392000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.512530000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.512636000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.512783000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.512879000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.513027000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.513124000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.513273000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808145.513370000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808145.513519000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
