windowID,windowStart,windowEnd,packetCount,tcpPacketCount,udpPacketCount,tcpRatio,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,throughput,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,tcpSynCount,tcpAckCount,tcpFinCount,tcpRstCount,tcpPshCount,tcpSynOnlyCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetTo_loungeBulb,packetFrom_loungeBulb,packetTo_bedroomBulb,packetFrom_bedroomBulb,packetTo_camera,packetFrom_camera,packetTo_hub,packetFrom_hub,packetTo_plug,packetFrom_plug,tlsHandshakeCount,avgTLSRecordLen,avgUDPLen,DNSQueryCount,uniqueDNSQueries,label
239,1774116122.8300095,1774116123.8300095,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,22847.0,2200.0,0,3,0,0,2,0,0,0,0.012052666666666668,0.013502546772121671,0.002332,0.02747,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugOff
240,1774116131.4467916,1774116132.4467916,4,4,0,1.0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,973.0,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,34055.0,2506.0,0,4,0,0,3,0,0,0,0.0217915,0.024567417073568534,0.00165,0.055621,0,0,0,0,0,0,2,2,0,0,0,245.33333333333334,,0,0,movingAroundHouse
241,1774116134.95575,1774116135.95575,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,22825.0,2167.0,0,3,0,0,2,0,0,0,0.021403999999999996,0.011603629820017527,0.008444,0.030829,0,0,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugOn
242,1774116143.1609,1774116144.1609,5,5,0,1.0,0.0,194.8,160.31437864396318,60,370,87.0,3,0,974.0,2,2,199.0,76.68115805072325,179.6,161.5930072744486,2,2,139.6,161.5930072744486,4,0.8,1,26776.8,1907.0,0,5,0,0,4,0,0,0,0.0202432,0.01715805378532192,0.000469,0.04291,0,0,2,3,0,0,0,0,0,0,0,169.5,,0,0,bulbChange
243,1774116171.7933075,1774116172.7933075,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,22865.666666666668,2266.0,0,3,0,0,2,0,0,0,0.02449433333333333,0.0062909368406727255,0.017609,0.029942,1,2,0,0,0,0,0,0,0,0,0,170.0,,0,0,bulbOff
244,1774116182.0830693,1774116183.0830693,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,22803.0,2134.0,0,3,0,0,2,0,0,0,0.010979000000000001,0.009363606997306113,0.000179,0.016823,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugOff
245,1774116186.3929133,1774116187.3929133,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,22604.333333333332,1874.0,0,3,0,0,2,0,0,0,0.044322,0.046312062672698995,0.008702,0.096675,0,0,1,2,0,0,0,0,0,0,0,170.0,,0,0,bulbChange
246,1774116196.208195,1774116197.208195,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,22781.0,2101.0,0,3,0,0,2,0,0,0,0.04365666666666667,0.058169742601573655,0.000955,0.109909,0,0,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugOn
247,1774116197.1917415,1774116198.1917415,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,22843.666666666668,2233.0,0,3,0,0,2,0,0,0,0.043042,0.03502505747318625,0.004947,0.073851,1,2,0,0,0,0,0,0,0,0,0,169.5,,0,0,bulbOn
248,1774116245.333405,1774116246.333405,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,22738.333333333332,2037.0,0,3,0,0,2,0,0,0,0.04294333333333333,0.06731649362773832,0.003421,0.12067,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugOff
249,1774116252.541338,1774116253.541338,7,3,4,0.42857142857142855,0.5714285714285714,114.14285714285714,113.98308145134021,60,372,70.0,6,0,799.0,3,3,235.0,52.91502622129181,99.28571428571429,114.47956773403467,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,22561.666666666668,1810.0,0,3,0,0,2,0,1,1,0.03363957142857143,0.029816379619582382,0.007191,0.082671,0,0,1,2,0,0,0,4,0,0,0,170.5,36.0,0,0,bulbOff
250,1774116254.462445,1774116255.462445,4,3,1,0.75,0.25,147.25,150.2472961487161,60,372,78.5,3,0,589.0,3,3,220.0,70.0,131.75,151.43397901395844,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,22716.333333333332,2004.0,0,3,0,0,2,0,1,1,0.04786775,0.047955013115592686,0.009166,0.116498,0,0,0,0,0,0,0,1,1,2,0,170.5,36.0,0,0,plugOn
