frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770659339.855297000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.855864000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.876767000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.879676000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659339.887602000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.893903000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.896017000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659339.897630000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.909906000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.920508000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659339.921399000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659339.925734000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.932335000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.938881000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.949772000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.961890000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659339.970667000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.970878000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.971680000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659339.980469000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.980715000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.002724000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.002724000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.003888000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.012174000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.013335000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.033547000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.043329000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.045830000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.051869000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.053260000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.063830000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.065383000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.083787000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.084760000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.085362000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.097214000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.101098000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.105323000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.125844000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.129815000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.129815000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.135346000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.142047000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.147611000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.161300000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.166151000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.167087000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.178085000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.180078000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.205782000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.209852000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.209852000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.210069000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.214559000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.231284000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.243688000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.247240000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.248795000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.261456000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.266743000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.271793000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.287960000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.292847000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.297774000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
