frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.time_relative,tcp.stream,tcp.analysis.ack_rtt,tcp.time_delta,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name,tcp.window_size_value,tls.record.length,tls.handshake.type,tls.record.content_type,udp.length
1776412059.730656000,0.065388000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412060.027583000,0.084261000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412060.332774000,0.005489000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412060.681345000,0.085986000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412060.919695000,0.088137000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412061.214621000,0.145946000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412061.518465000,0.003936000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412063.452964000,0.100624000,250,192.168.0.55,54.72.196.78,6,64,236,184,0x0018,99.180098000,27,,33.840644000,32807,443,,,,5283,179,,23,
1776412063.489862000,0.036898000,99,54.72.196.78,192.168.0.55,6,116,85,33,0x0018,99.216996000,27,0.036898000,0.036898000,443,32807,,,,3284,28,,23,
1776412063.491196000,0.001334000,66,192.168.0.55,54.72.196.78,6,64,52,0,0x0010,99.218330000,27,0.001334000,0.001334000,32807,443,,,,5283,,,,
1776412067.044942000,0.016983000,85,192.168.0.59,52.50.169.45,6,255,71,31,0x0018,0.000000000,124,,0.000000000,52433,443,,,,1956,26,,23,
1776412067.074481000,0.029539000,85,52.50.169.45,192.168.0.59,6,116,71,31,0x0018,0.029539000,124,0.029539000,0.029539000,443,52433,,,,65535,26,,23,
1776412067.207658000,0.133177000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,0.162716000,124,0.133177000,0.133177000,52433,443,,,,1925,,,,
1776412075.099021000,0.024693000,97,192.168.0.55,54.72.196.78,6,64,83,31,0x0018,110.826155000,27,,11.607825000,32807,443,,,,5283,26,,23,
1776412075.126230000,0.002569000,97,54.72.196.78,192.168.0.55,6,116,83,31,0x0018,110.853364000,27,0.027209000,0.027209000,443,32807,,,,3284,26,,23,
1776412075.127903000,0.000563000,66,192.168.0.55,54.72.196.78,6,64,52,0,0x0010,110.855037000,27,0.001673000,0.001673000,32807,443,,,,5283,,,,
1776412078.488173000,0.001040000,85,192.168.0.47,52.50.169.45,6,255,71,31,0x0018,0.000000000,135,,0.000000000,52433,443,,,,2458,26,,23,
1776412078.512869000,0.013570000,85,52.50.169.45,192.168.0.47,6,116,71,31,0x0018,0.024696000,135,0.024696000,0.024696000,443,52433,,,,63984,26,,23,
1776412078.747759000,0.051184000,60,192.168.0.47,52.50.169.45,6,255,40,0,0x0010,0.259586000,135,0.234890000,0.234890000,52433,443,,,,2427,,,,
1776412080.953933000,0.075710000,85,192.168.0.52,52.210.212.218,6,255,71,31,0x0018,0.000000000,138,,0.000000000,52433,443,,,,2261,26,,23,
1776412080.977057000,0.004393000,85,52.210.212.218,192.168.0.52,6,116,71,31,0x0018,0.023124000,138,0.023124000,0.023124000,443,52433,,,,63984,26,,23,
1776412081.009603000,0.032546000,99,192.168.0.35,13.50.43.159,6,64,85,33,0x0018,90.000626000,56,,89.954690000,36769,443,,,,728,28,,23,
1776412081.054871000,0.011857000,66,13.50.43.159,192.168.0.35,6,118,52,0,0x0010,90.045894000,56,0.045268000,0.045268000,443,36769,,,,474,,,,
1776412081.190969000,0.084994000,60,192.168.0.52,52.210.212.218,6,255,40,0,0x0010,0.237036000,138,0.213912000,0.213912000,52433,443,,,,2230,,,,
1776412084.384000000,0.010033000,135,51.92.222.233,192.168.0.35,6,246,121,69,0x0018,120.000596000,28,,29.959595000,443,53506,,,,3079,64,,23,
1776412084.387017000,0.003017000,135,192.168.0.35,51.92.222.233,6,64,121,69,0x0018,120.003613000,28,0.003017000,0.003017000,53506,443,,,,2608,64,,23,
1776412084.424327000,0.037310000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,120.040923000,28,0.037310000,0.037310000,443,53506,,,,3079,,,,
1776412114.384437000,0.014471000,135,51.92.222.233,192.168.0.35,6,246,121,69,0x0018,150.001033000,28,,29.960110000,443,53506,,,,3079,64,,23,
1776412114.386562000,0.002125000,135,192.168.0.35,51.92.222.233,6,64,121,69,0x0018,150.003158000,28,0.002125000,0.002125000,53506,443,,,,2608,64,,23,
1776412114.420668000,0.034106000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,150.037264000,28,0.034106000,0.034106000,443,53506,,,,3079,,,,
1776412122.269039000,0.038629000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412122.566147000,0.104250000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412122.862145000,0.014736000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412123.166049000,0.012775000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412123.460843000,0.076304000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412123.756278000,0.102303000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412124.077019000,0.000001000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412124.370352000,0.003639000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412130.254481000,0.044201000,97,192.168.0.55,54.72.196.78,6,64,83,31,0x0018,165.981615000,27,,55.126578000,32807,443,,,,5283,26,,23,
1776412130.278591000,0.011540000,97,54.72.196.78,192.168.0.55,6,116,83,31,0x0018,166.005725000,27,0.024110000,0.024110000,443,32807,,,,3284,26,,23,
1776412130.285839000,0.007248000,66,192.168.0.55,54.72.196.78,6,64,52,0,0x0010,166.012973000,27,0.007248000,0.007248000,32807,443,,,,5283,,,,
1776412142.885636000,0.051989000,407,192.168.0.35,51.92.222.233,6,64,393,341,0x0018,178.502232000,28,,28.464968000,53506,443,,,,2608,336,,23,
1776412142.922310000,0.036674000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,178.538906000,28,0.036674000,0.036674000,443,53506,,,,3077,,,,
1776412142.924411000,0.002101000,167,51.92.222.233,192.168.0.35,6,246,153,101,0x0018,178.541007000,28,,0.002101000,443,53506,,,,3079,96,,23,
1776412142.969694000,0.015489000,66,192.168.0.35,51.92.222.233,6,64,52,0,0x0010,178.586290000,28,0.045283000,0.045283000,53506,443,,,,2608,,,,
1776412144.384598000,0.009378000,135,51.92.222.233,192.168.0.35,6,246,121,69,0x0018,180.001194000,28,,1.414904000,443,53506,,,,3079,64,,23,
1776412144.457189000,0.000326000,66,192.168.0.35,51.92.222.233,6,64,52,0,0x0010,180.073785000,28,0.072591000,0.072591000,53506,443,,,,2607,,,,
1776412144.457190000,0.000001000,135,192.168.0.35,51.92.222.233,6,64,121,69,0x0018,180.073786000,28,,0.000001000,53506,443,,,,2608,64,,23,
1776412144.550652000,0.093462000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,180.167248000,28,0.093462000,0.093462000,443,53506,,,,3079,,,,
1776412162.131875000,0.023744000,74,192.168.0.35,194.168.4.123,17,64,60,,,,,,,,,1373,53,api.amazon.com,,,,,40
1776412162.155790000,0.023915000,202,194.168.4.123,192.168.0.35,17,57,188,,,,,,,,,53,1373,api.amazon.com,,,,,168
1776412162.166756000,0.010966000,74,192.168.0.35,98.82.156.168,6,64,60,0,0x0002,0.000000000,214,,0.000000000,57648,443,,,,29200,,,,
1776412162.280634000,0.113878000,74,98.82.156.168,192.168.0.35,6,244,60,0,0x0012,0.113878000,214,0.113878000,0.113878000,443,57648,,,,64260,,,,
1776412162.282692000,0.002058000,66,192.168.0.35,98.82.156.168,6,64,52,0,0x0010,0.115936000,214,0.002058000,0.002058000,57648,443,,,,457,,,,
1776412162.283461000,0.000769000,420,192.168.0.35,98.82.156.168,6,64,406,354,0x0018,0.116705000,214,,0.000769000,57648,443,,,,457,349,1,22,
1776412162.402084000,0.063307000,66,98.82.156.168,192.168.0.35,6,244,52,0,0x0010,0.235328000,214,0.118623000,0.118623000,443,57648,,,,500,,,,
