frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773349656.539755000,0.014454000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349656.838066000,0.148997000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349657.137751000,0.068690000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349657.441742000,0.006340000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349657.735690000,0.000325000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349658.039710000,0.216843000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349658.914420000,0.078385000,368,192.168.0.54,192.168.0.47,6,64,354,314,0x0018,15,49960,80,,,
1773349658.987600000,0.073100000,371,192.168.0.47,54.75.203.10,6,255,357,317,0x0018,80,52433,443,,,
1773349659.016382000,0.028782000,87,54.75.203.10,192.168.0.47,6,115,73,33,0x0018,80,443,52433,,,
1773349659.144656000,0.025205000,60,192.168.0.47,54.75.203.10,6,255,40,0,0x0010,80,52433,443,,,
1773349659.144656000,0.000000000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349659.282523000,0.072782000,200,192.168.0.47,192.168.0.54,6,255,186,146,0x0018,15,80,49960,,,
1773349659.282536000,0.000013000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349674.474372000,0.055638000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349674.474445000,0.000073000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349674.566448000,0.000001000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349688.312309000,1.390407000,74,192.168.0.54,192.168.0.52,6,64,60,0,0x0002,277,51914,80,,,
1773349688.366759000,0.054372000,60,192.168.0.52,192.168.0.54,6,255,44,0,0x0012,277,80,51914,,,
1773349688.366786000,0.000027000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,277,51914,80,,,
1773349688.366886000,0.000071000,369,192.168.0.54,192.168.0.52,6,64,355,315,0x0018,277,51914,80,,,
1773349688.467982000,0.101024000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,277,80,51914,,,
1773349688.470321000,0.002339000,371,192.168.0.52,52.210.212.218,6,255,357,317,0x0018,129,52444,443,,,
1773349688.501526000,0.031205000,87,52.210.212.218,192.168.0.52,6,115,73,33,0x0018,129,443,52444,,,
1773349688.582440000,0.080914000,200,192.168.0.52,192.168.0.54,6,255,186,146,0x0018,277,80,51914,,,
1773349688.582453000,0.000013000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,277,51914,80,,,
1773349688.731745000,0.095892000,60,192.168.0.52,52.210.212.218,6,255,40,0,0x0010,129,52444,443,,,
1773349689.578369000,0.295885000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349689.578441000,0.000072000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349689.702463000,0.124022000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349697.768376000,0.042040000,97,192.168.0.55,52.50.169.45,6,64,83,31,0x0018,61,33881,443,,,
1773349697.796992000,0.028616000,97,52.50.169.45,192.168.0.55,6,115,83,31,0x0018,61,443,33881,,,
1773349697.816765000,0.019773000,66,192.168.0.55,52.50.169.45,6,64,52,0,0x0010,61,33881,443,,,
1773349701.587293000,0.331509000,369,192.168.0.54,192.168.0.52,6,64,355,315,0x0018,277,51914,80,,,
1773349701.746788000,0.095279000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,277,80,51914,,,
1773349701.748082000,0.001294000,370,192.168.0.52,52.210.212.218,6,255,356,316,0x0018,129,52444,443,,,
1773349701.784254000,0.036172000,87,52.210.212.218,192.168.0.52,6,115,73,33,0x0018,129,443,52444,,,
1773349701.841273000,0.057019000,200,192.168.0.52,192.168.0.54,6,255,186,146,0x0018,277,80,51914,,,
1773349701.841283000,0.000010000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,277,51914,80,,,
1773349701.841911000,0.000600000,401,192.168.0.54,192.168.0.52,6,64,387,347,0x0018,277,51914,80,,,
