windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
352,1773242999.456046,1773243004.456046,504,320.6190476190476,366.6854840988294,5,5,7,7,504,0,idle
353,1773243004.456046,1773243009.456046,289,313.5467128027682,378.42524406421364,6,6,9,9,289,0,idle
354,1773243009.456046,1773243014.456046,438,314.69406392694066,356.7588042418039,5,5,8,8,438,0,idle
355,1773243014.456046,1773243019.456046,428,310.6051401869159,364.8995956629284,5,6,7,7,424,4,idle
356,1773243019.456046,1773243024.456046,339,301.4867256637168,364.11896054287104,6,7,8,8,329,4,idle
357,1773243024.456046,1773243029.456046,541,319.82255083179297,367.6126608993239,7,6,8,9,525,0,idle
358,1773243029.456046,1773243034.456046,411,316.0097323600973,357.99997261571826,5,5,7,7,411,0,idle
359,1773243034.456046,1773243039.456046,343,301.11078717201167,362.6018703003131,5,5,8,8,343,0,idle
360,1773243039.456046,1773243044.456046,410,312.04634146341465,366.1675639495978,5,5,8,8,410,0,idle
361,1773243044.456046,1773243049.456046,427,305.72833723653395,362.28425824562265,6,6,9,9,427,0,bulboff
362,1773243049.456046,1773243054.456046,342,317.02923976608184,375.629566181945,5,5,7,7,342,0,bulbon
363,1773243054.456046,1773243059.456046,535,320.73644859813083,366.43038140699457,6,6,10,10,535,0,bulbon
364,1773243059.456046,1773243064.456046,458,317.264192139738,357.24407384760974,6,6,8,8,458,0,idle
365,1773243064.456046,1773243069.456046,421,309.4061757719715,360.97528455145925,6,6,9,9,421,0,bulbchange
366,1773243069.456046,1773243074.456046,428,313.70327102803736,368.42333644470807,5,5,8,8,428,0,bulbchange
367,1773243074.456046,1773243079.456046,431,315.08352668213456,365.39039012146276,5,5,7,7,431,0,idle
368,1773243079.456046,1773243084.456046,458,311.99344978165936,364.5661519796572,5,6,8,8,450,8,idle
369,1773243084.456046,1773243089.456046,752,325.96409574468083,365.78387459931974,5,5,8,8,752,0,idle
370,1773243089.456046,1773243094.456046,410,323.9219512195122,372.938753935405,5,5,7,7,410,0,idle
371,1773243094.456046,1773243099.456046,379,320.44327176781,370.9423347216357,5,5,9,9,379,0,idle
372,1773243099.456046,1773243104.456046,385,310.86233766233767,356.45564132006143,5,5,8,8,385,0,idle
373,1773243104.456046,1773243109.456046,410,316.7731707317073,367.59269710573955,5,5,7,7,410,0,idle
