frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770907577.106137000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907577.107173000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907577.107338000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907578.448373000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907578.448465000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907578.448614000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907578.448711000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907578.448862000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907578.452912000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907578.452912000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907578.453087000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907578.453251000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907578.454397000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907578.454564000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907579.794322000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907579.794414000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907579.794564000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907579.794660000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907579.794812000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907579.808526000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907579.808617000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907579.808618000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907579.808805000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907579.813807000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907579.813972000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907580.592373000,192.168.0.35,192.168.0.187,64,0x0018,2059,6,789,55022,55443,,
1770907580.608425000,192.168.0.187,192.168.0.35,64,0x0018,2152,6,217,55443,55022,,
1770907580.609331000,192.168.0.35,192.168.0.187,64,0x0010,2059,6,66,55022,55443,,
1770907580.613200000,192.168.0.187,192.168.0.35,64,0x0018,2152,6,200,55443,55022,,
1770907580.614411000,192.168.0.35,192.168.0.187,64,0x0010,2059,6,66,55022,55443,,
1770907581.142271000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907581.144121000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907581.146093000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907581.146246000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907581.146389000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907581.171194000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907581.171194000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907581.171194000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907581.171195000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907581.171332000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907581.171496000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907582.488195000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907582.488288000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907582.488437000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907582.488534000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907582.488686000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907582.490649000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907582.490649000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907582.490649000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907582.490650000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907582.490674000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907582.494015000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907583.788835000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907583.788929000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907583.789078000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907583.789175000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907583.789327000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907583.790981000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907583.790981000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907583.790981000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907583.791005000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907583.791222000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907583.792274000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907585.137485000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907585.139610000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907585.140632000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907585.140736000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907585.140885000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907585.168416000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907585.168416000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907585.168440000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907585.169839000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907585.169839000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907585.169840000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907586.416489000,,,,,,,60,,,,
1770907586.450735000,,,,,,,60,,,,
1770907586.528315000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907586.528410000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907586.528560000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907586.528656000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907586.528808000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907586.529794000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907586.529817000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907586.530030000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907586.531890000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907586.531890000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907586.532053000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907587.828333000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907587.828426000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907587.828575000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907587.828671000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907587.828823000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907587.830529000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907587.830530000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907587.830530000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907587.831143000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907587.831143000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907587.831389000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907589.294755000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907589.296575000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907589.297154000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907589.297376000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907589.297979000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907589.298128000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
