windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,avgInterArrivalTime,stdInterArrivalTime,avgTTL,stdTTL,avgIPLen,stdIPLen,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,uniqueTCPStreams,DNSQueryCount,uniqueDNSQueries,label
62,1773746661.793076,1773746666.793076,6,169.33333333333334,137.6381729995958,0,0,3,3,0,0,6,0,0.005171833333333333,0.006714348499047891,208.33333333333334,72.29568912920512,153.33333333333334,139.56599394790504,113.33333333333333,139.56599394790504,4,2,0,0,bulbchange
63,1773746662.793076,1773746667.793076,6,169.33333333333334,137.6381729995958,0,0,3,3,0,0,6,0,0.005171833333333333,0.006714348499047891,208.33333333333334,72.29568912920512,153.33333333333334,139.56599394790504,113.33333333333333,139.56599394790504,4,2,0,0,bulbchange
64,1773746663.793076,1773746668.793076,3,172.66666666666666,172.2914197902302,0,0,2,2,0,0,3,0,0.008191333333333333,0.009227295938319812,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,116.66666666666667,174.27660007394374,2,1,0,0,idle
74,1773746673.793076,1773746678.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.0029989999999999995,0.003434620648630646,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
75,1773746674.793076,1773746679.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.0029989999999999995,0.003434620648630646,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
76,1773746675.793076,1773746680.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.0029989999999999995,0.003434620648630646,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
77,1773746676.793076,1773746681.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.0029989999999999995,0.003434620648630646,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
78,1773746677.793076,1773746682.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.0029989999999999995,0.003434620648630646,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
84,1773746683.793076,1773746688.793076,2,70.0,0.0,0,0,0,0,1,1,0,2,0.0006335,0.0008959042917633557,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
85,1773746684.793076,1773746689.793076,6,70.0,0.0,0,0,0,0,1,1,0,6,0.000856,0.001167659025572106,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
86,1773746685.793076,1773746690.793076,8,70.0,0.0,0,0,0,0,1,1,0,8,0.000845625,0.0009889016905493834,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
87,1773746686.793076,1773746691.793076,8,70.0,0.0,0,0,0,0,1,1,0,8,0.000845625,0.0009889016905493834,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
88,1773746687.793076,1773746692.793076,8,70.0,0.0,0,0,0,0,1,1,0,8,0.000845625,0.0009889016905493834,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
89,1773746688.793076,1773746693.793076,6,70.0,0.0,0,0,0,0,1,1,0,6,0.0009163333333333332,0.0010883794681390616,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
90,1773746689.793076,1773746694.793076,2,70.0,0.0,0,0,0,0,1,1,0,2,0.0008145,0.00016051323932934628,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
102,1773746701.793076,1773746706.793076,1,85.0,,0,0,1,1,0,0,1,0,0.00584,,255.0,,71.0,,31.0,,1,1,0,0,idle
103,1773746702.793076,1773746707.793076,8,157.875,207.36471493482202,0,0,3,3,0,0,8,0,0.00871725,0.011512596576297263,185.0,74.83314773547883,141.625,208.59799855223923,101.625,208.59799855223923,5,2,0,0,idle
