windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,tcpPacketCount,udpPacketCount,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,avgInterPacketTime,stdInterPacketTime,maxInterPacketTime,smallPackets,mediumPackets,largePackets,count_size_200,count_size_368,count_size_369,count_size_74,anomalousRatio,cameraExternalPkts,cameraExternalBytes,rpi_pktsTo,rpi_pktsFrom,rpi_bytesTo,rpi_bytesFrom,rpi_avgLenTo,rpi_avgLenFrom,hub_pktsTo,hub_pktsFrom,hub_bytesTo,hub_bytesFrom,hub_avgLenTo,hub_avgLenFrom,lounge_pktsTo,lounge_pktsFrom,lounge_bytesTo,lounge_bytesFrom,lounge_avgLenTo,lounge_avgLenFrom,bedroom_pktsTo,bedroom_pktsFrom,bedroom_bytesTo,bedroom_bytesFrom,bedroom_avgLenTo,bedroom_avgLenFrom,camera_pktsTo,camera_pktsFrom,camera_bytesTo,camera_bytesFrom,camera_avgLenTo,camera_avgLenFrom,label,packetCount_delta,cameraExternalPkts_delta,lounge_pktsTo_delta,bedroom_pktsTo_delta,hub_pktsTo_delta,camera_pktsTo_delta
55440,1773404948.767854,1773404953.767854,9,180.88888888888889,139.55759021871336,9,0,3,3,4,4,0.06923362612724304,0.08960765562358514,0.2414867877960205,5,4,0,1,2,0,0,0.3333333333333333,0,0,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,691,187.4,172.75,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulbchange,0.0,0.0,0.0,0.0,0.0,0.0
55441,1773404949.767854,1773404954.767854,9,180.88888888888889,139.55759021871336,9,0,3,3,4,4,0.06923362612724304,0.08960765562358514,0.2414867877960205,5,4,0,1,2,0,0,0.3333333333333333,0,0,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,691,187.4,172.75,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulbchange,0.0,0.0,0.0,0.0,0.0,0.0
55442,1773404950.767854,1773404955.767854,4,93.5,61.536574490298044,4,0,2,3,3,3,0.034059365590413414,0.04813754569346727,0.10213613510131836,3,1,0,1,0,0,0,0.25,0,0,1,2,200,114,200.0,57.0,0,0,0,0,0.0,0.0,2,2,114,260,57.0,130.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulbchange,-5.0,0.0,-3.0,0.0,0.0,0.0
55444,1773404952.767854,1773404957.767854,9,181.0,139.70922183831198,9,0,3,3,4,4,0.05475136637687683,0.05080396412393677,0.13349390029907227,5,4,0,1,2,0,0,0.3333333333333333,0,0,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,692,187.4,173.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulboff,5.0,0.0,3.0,0.0,0.0,0.0
55445,1773404953.767854,1773404958.767854,12,157.41666666666666,127.90977180114982,12,0,5,5,5,5,0.11793526736172763,0.23048394231293462,0.8318920135498047,8,4,0,1,2,0,0,0.25,2,163,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,692,187.4,173.0,0,0,0,0,0.0,0.0,1,2,97,163,97.0,81.5,bulboff,3.0,2.0,0.0,0.0,0.0,1.0
55446,1773404954.767854,1773404959.767854,12,157.41666666666666,127.90977180114982,12,0,5,5,5,5,0.11793526736172763,0.23048394231293462,0.8318920135498047,8,4,0,1,2,0,0,0.25,2,163,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,692,187.4,173.0,0,0,0,0,0.0,0.0,1,2,97,163,97.0,81.5,bulboff,0.0,0.0,0.0,0.0,0.0,0.0
55447,1773404955.767854,1773404960.767854,12,157.41666666666666,127.90977180114982,12,0,5,5,5,5,0.11793526736172763,0.23048394231293462,0.8318920135498047,8,4,0,1,2,0,0,0.25,2,163,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,692,187.4,173.0,0,0,0,0,0.0,0.0,1,2,97,163,97.0,81.5,bulboff,0.0,0.0,0.0,0.0,0.0,0.0
55448,1773404956.767854,1773404961.767854,12,157.41666666666666,127.90977180114982,12,0,5,5,5,5,0.11793526736172763,0.23048394231293462,0.8318920135498047,8,4,0,1,2,0,0,0.25,2,163,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,692,187.4,173.0,0,0,0,0,0.0,0.0,1,2,97,163,97.0,81.5,bulboff,0.0,0.0,0.0,0.0,0.0,0.0
55449,1773404957.767854,1773404962.767854,3,86.66666666666667,14.613540144521982,3,0,2,2,2,2,0.013692498207092285,0.012206435203552246,0.02589893341064453,3,0,0,0,0,0,0,0.0,2,163,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,97,163,97.0,81.5,bulboff,-9.0,0.0,-5.0,0.0,0.0,0.0
55452,1773404960.767854,1773404965.767854,2,70.0,0.0,0,2,1,1,0,0,0.29367685317993164,0.0,0.29367685317993164,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,140,0.0,70.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulbon,-1.0,-2.0,0.0,0.0,0.0,-1.0
