frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773399498.895156000,0.004080000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399498.904389000,0.009159000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399498.911559000,0.007170000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399498.914067000,0.002508000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399498.916278000,0.002137000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399498.935070000,0.018792000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399498.939112000,0.004042000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399498.944762000,0.005576000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399498.960849000,0.016087000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399498.962780000,0.001931000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399498.965372000,0.002519000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399498.981733000,0.016361000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399498.983590000,0.001857000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399498.985694000,0.002031000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.003671000,0.017977000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.005602000,0.001931000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.008028000,0.002352000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.026458000,0.018430000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.028544000,0.002086000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.030742000,0.002125000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.047637000,0.016895000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.049646000,0.002009000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.051497000,0.001777000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.072302000,0.020805000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.073180000,0.000878000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.075259000,0.002005000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.098990000,0.023731000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.100912000,0.001922000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.102808000,0.001823000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.121603000,0.018795000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
